A0,A1,A2,A3
5.587,5.531,5.545,5.498
5.578,5.554,5.545,5.517
5.629,5.554,5.554,5.526
5.634,5.536,5.554,5.489
5.601,5.526,5.564,5.461
5.583,5.536,5.573,5.507
5.601,5.545,5.522,5.536
5.601,5.568,5.55,5.522
5.587,5.583,5.554,5.517
5.615,5.526,5.55,5.489
5.639,5.522,5.559,5.507
5.573,5.517,5.536,5.512
5.597,5.54,5.554,5.47
5.606,5.54,5.545,5.465
5.568,5.54,5.54,5.47
5.587,5.587,5.545,5.493
5.587,5.55,5.545,5.493
5.583,5.592,5.559,5.55
5.615,5.545,5.578,5.517
5.601,5.554,5.554,5.531
5.564,5.522,5.554,5.536
5.573,0.0,0.0,0.0
5.597,5.522,5.536,5.531
5.587,5.531,5.583,5.503
5.629,5.512,5.536,5.54
5.629,5.526,5.545,5.493
5.554,5.536,5.568,5.545
5.606,5.54,5.559,5.522
5.611,5.564,5.545,5.545
5.611,5.568,5.559,5.559
5.601,5.55,5.536,5.503
5.55,5.536,5.55,5.522
5.568,5.54,5.545,5.489
5.62,5.517,5.545,5.484
5.606,5.526,5.559,5.54
5.578,5.512,5.54,5.526
5.573,5.54,5.526,5.498
5.587,5.545,5.536,5.517
5.587,5.568,5.568,5.531
5.592,5.564,5.564,5.498
5.606,5.517,5.522,5.503
5.601,5.512,5.545,5.498
5.568,5.536,5.54,5.54
5.559,5.55,5.55,5.517
5.601,5.54,5.536,5.559
5.568,5.507,5.531,5.54
5.601,5.568,5.531,5.512
5.629,5.498,5.536,5.503
5.573,5.54,5.536,5.493
5.625,5.531,5.54,5.461
5.578,5.564,5.559,5.479
5.611,5.531,5.526,5.54
5.601,5.531,5.55,5.522
5.639,5.564,5.55,5.54
5.629,5.47,5.554,5.503
5.62,5.583,5.559,5.503
5.573,5.536,5.545,5.554
5.554,5.507,5.522,5.503
5.606,5.564,5.536,5.54
5.573,5.536,5.559,5.498
5.601,5.512,5.536,5.526
5.568,5.559,5.526,0.0
5.615,5.55,5.54,0.0
5.615,5.559,5.55,5.531
5.564,5.512,5.531,5.507
5.62,5.559,5.559,5.512
5.587,5.531,5.554,5.526
5.583,5.503,5.554,5.484
5.601,5.526,5.545,5.526
5.578,5.526,5.554,5.503
5.615,5.573,5.55,5.517
5.615,5.536,5.54,5.522
5.611,5.526,5.559,5.479
5.611,5.493,5.54,5.512
5.592,5.503,5.54,5.493
5.592,5.47,5.554,5.522
5.592,5.526,5.55,5.55
5.583,5.583,5.554,5.55
5.644,5.564,5.54,5.507
5.597,5.54,5.564,5.559
5.592,5.545,5.526,5.507
5.625,5.554,5.55,5.526
5.658,5.484,5.554,5.517
5.611,5.489,5.531,5.526
5.62,5.568,5.568,5.559
5.592,5.545,5.54,5.493
5.629,5.554,5.522,5.517
5.611,5.55,5.531,5.578
5.611,5.536,5.559,5.522
5.644,5.522,5.545,5.564
5.559,5.526,5.55,5.517
5.601,5.512,5.554,5.517
5.629,5.55,5.554,5.54
5.629,5.526,5.564,5.517
5.62,5.545,5.536,5.545
5.639,5.554,5.564,5.536
5.625,5.536,5.55,5.536
5.625,5.559,5.554,5.536
5.62,5.55,5.54,5.573
5.611,5.597,5.554,5.536
5.601,5.545,5.554,5.559
5.564,5.517,5.545,5.564
5.634,5.493,5.55,5.554
5.587,5.545,5.526,5.55
5.625,5.54,5.55,5.564
5.658,5.536,5.531,5.503
5.615,5.503,5.55,5.507
5.601,5.489,5.522,5.554
5.629,5.512,5.545,5.54
5.578,5.526,5.522,5.526
5.639,5.578,5.564,5.498
5.634,5.54,5.54,5.512
5.592,5.554,5.55,5.54
5.601,5.568,5.54,5.531
5.545,5.54,5.564,5.573
5.644,5.489,5.545,5.536
5.62,5.507,5.545,5.564
5.573,5.536,5.55,5.512
5.597,5.517,5.536,5.517
5.583,5.517,5.531,5.503
5.601,5.536,5.559,5.531
5.606,5.54,5.55,5.517
5.615,5.583,5.522,5.531
5.597,5.573,5.568,5.568
5.587,5.54,5.526,5.568
5.597,5.522,5.545,5.54
5.625,5.498,5.55,5.526
5.601,5.522,5.55,5.503
5.611,5.507,5.531,5.503
5.662,5.479,5.526,5.559
5.601,5.559,5.55,5.517
5.597,5.601,5.564,5.512
5.597,5.531,5.568,5.498
5.606,5.526,5.55,5.503
5.634,5.531,5.559,5.55
5.615,5.531,5.55,5.564
5.587,5.522,5.554,5.564
5.644,5.536,5.531,5.536
5.658,5.536,5.531,5.536
5.629,5.54,5.54,5.559
5.583,5.55,5.545,5.54
5.658,5.522,5.531,5.54
5.639,5.554,5.583,5.503
5.611,5.564,5.531,5.522
5.597,5.54,5.559,5.512
5.592,5.54,5.55,5.536
5.583,5.489,5.536,5.536
5.62,5.507,5.54,5.554
5.597,5.531,5.536,5.564
5.564,5.55,5.554,5.493
5.601,5.522,5.564,5.55
5.62,5.55,5.526,5.526
5.601,5.526,5.54,5.526
5.625,5.531,5.55,5.554
5.592,5.54,5.55,5.531
5.554,5.559,5.55,5.475
5.644,5.526,5.573,5.55
5.592,5.54,5.564,5.475
5.592,5.545,5.564,5.522
5.62,5.536,5.578,5.517
5.578,5.545,5.573,5.493
5.55,5.526,5.559,5.522
5.592,5.545,5.554,5.479
5.606,5.592,5.559,5.517
5.611,5.55,5.54,5.531
5.648,5.55,5.578,5.564
5.578,5.545,5.573,5.536
5.62,5.583,5.559,5.526
5.601,5.526,5.531,5.517
5.625,5.512,5.55,5.517
5.653,5.498,5.545,5.526
5.639,5.597,5.536,5.526
5.597,5.545,5.531,5.522
5.606,5.522,5.54,5.531
5.559,5.559,5.526,5.507
5.615,5.554,5.531,5.507
5.625,5.526,5.54,5.531
5.554,5.559,5.526,5.526
5.629,5.554,5.564,5.484
5.634,5.564,5.54,5.489
5.583,5.573,5.536,5.55
5.592,5.564,5.545,5.522
5.639,5.526,5.564,5.503
5.592,5.573,5.564,5.54
5.62,5.545,5.55,5.531
5.62,5.568,5.526,5.522
5.545,5.484,5.54,5.54
5.559,5.564,5.531,5.507
5.606,5.54,5.545,5.493
5.578,5.564,5.526,5.559
5.583,5.493,5.55,5.54
5.634,5.583,5.536,5.545
5.559,5.498,5.536,5.559
5.55,5.503,5.564,5.503
5.554,5.54,5.545,5.512
5.54,5.568,5.54,5.503
5.648,5.484,5.545,5.507
5.611,5.55,5.55,5.512
5.601,5.531,5.536,5.493
5.573,5.564,5.559,5.531
5.583,5.498,5.55,5.55
5.587,5.559,5.564,5.512
5.625,5.545,5.55,5.522
5.587,5.54,5.545,5.536
5.587,5.564,5.55,5.531
5.611,5.564,5.545,5.493
5.554,5.498,5.536,5.503
5.615,5.517,5.54,5.475
5.606,5.517,5.54,5.564
5.545,5.503,5.536,5.545
5.611,5.54,5.512,5.484
5.611,5.592,5.573,5.479
5.583,5.517,5.545,5.55
5.634,5.522,5.531,5.536
5.578,5.498,5.559,5.522
5.7,5.536,5.554,5.526
5.564,5.573,5.554,5.503
5.611,5.507,5.545,5.522
5.578,5.559,5.526,5.536
5.592,5.568,5.522,5.512
5.564,5.54,5.559,5.503
5.587,5.503,5.545,5.55
5.545,5.517,5.545,5.498
5.62,5.559,5.55,5.536
5.592,5.55,5.531,5.54
5.606,5.55,5.536,5.512
5.615,5.54,5.536,5.55
5.578,5.54,5.554,5.522
5.559,5.531,5.568,5.522
5.672,5.573,5.54,5.531
5.592,5.587,5.545,5.503
5.587,5.545,5.568,5.461
5.587,5.503,5.55,5.484
5.568,5.536,5.526,5.503
5.559,5.512,5.526,5.479
5.573,5.507,5.55,5.484
5.583,5.503,5.526,5.517
5.545,5.54,5.536,5.526
5.658,5.536,5.559,5.479
5.592,5.554,5.522,5.55
5.545,5.531,5.512,5.493
5.568,5.507,5.536,5.484
5.559,5.526,5.545,5.536
5.559,5.526,5.554,5.536
5.526,5.568,5.531,5.522
5.625,5.503,5.545,5.498
5.601,5.568,5.536,5.531
5.606,5.554,5.554,5.54
5.559,5.475,5.536,5.568
5.559,5.526,5.55,5.54
5.54,5.55,5.536,5.512
5.634,5.475,5.531,5.526
5.568,5.54,5.55,5.522
5.578,5.522,5.54,5.545
5.568,5.493,5.536,5.531
5.592,5.526,5.568,5.498
5.662,5.564,5.545,5.54
5.583,5.554,5.531,5.536
5.653,5.554,5.55,5.522
5.573,5.503,5.55,5.493
5.634,5.493,5.531,5.531
5.597,5.493,5.54,5.554
5.583,5.54,5.554,5.484
5.578,5.498,5.578,5.489
5.583,5.559,5.536,5.55
5.639,5.484,5.531,5.489
5.583,5.554,5.54,5.526
5.559,5.568,5.536,5.456
5.568,5.522,5.54,5.517
5.587,5.573,5.526,5.512
5.587,5.531,5.55,5.531
5.639,5.526,5.573,5.503
5.587,5.601,5.545,5.517
5.611,5.526,5.564,5.55
5.62,5.592,5.554,5.522
5.615,5.522,5.573,5.517
5.578,5.573,5.559,5.568
5.62,5.606,5.554,5.568
5.611,5.536,5.578,5.568
5.587,5.536,5.564,5.512
5.583,5.531,5.55,5.493
5.634,5.489,5.573,5.522
5.601,5.573,5.559,5.536
5.611,5.503,5.55,5.559
5.578,5.587,5.568,5.536
5.611,5.517,5.554,5.531
5.629,5.564,5.564,5.536
5.676,5.531,5.559,5.559
5.639,5.531,5.545,5.554
5.592,5.55,5.536,5.512
5.578,5.554,5.559,5.517
5.573,5.536,5.564,5.55
5.625,5.545,5.568,5.512
5.648,5.536,5.568,5.493
5.545,5.573,5.554,5.54
5.545,5.583,5.55,5.498
5.578,5.568,5.536,5.545
5.583,5.564,5.554,5.578
5.554,5.583,5.545,5.545
5.578,5.559,5.55,5.54
5.606,5.531,5.536,5.559
5.606,5.564,5.564,5.503
5.587,5.54,5.545,5.512
5.568,5.54,5.55,5.554
5.578,5.564,5.545,5.522
5.583,5.559,5.522,5.536
5.629,5.545,5.545,5.536
5.592,5.479,5.545,5.55
5.606,5.531,5.55,5.522
5.592,5.536,5.545,5.573
5.568,5.522,5.564,5.517
5.597,5.526,5.568,5.559
5.573,5.54,5.531,5.54
5.559,5.592,5.554,5.606
5.564,5.568,5.531,5.559
5.597,5.526,5.545,5.531
5.573,5.564,5.554,5.554
5.606,5.568,5.536,5.559
5.62,5.526,5.554,5.545
5.644,5.545,5.526,5.531
5.573,5.592,5.531,5.573
5.629,5.54,5.531,5.573
5.573,5.545,5.526,5.54
5.573,5.578,5.564,5.522
5.587,5.526,5.554,5.554
5.592,5.54,5.536,5.54
5.545,5.583,5.545,5.578
5.662,5.545,5.559,5.554
5.634,5.564,5.55,5.512
5.587,5.522,5.545,5.493
5.536,5.597,5.573,5.503
5.615,5.55,5.531,5.545
5.625,5.545,5.54,5.583
5.639,5.568,5.564,5.573
5.615,5.55,5.568,5.522
5.573,5.564,5.554,5.573
5.592,5.559,5.55,5.573
5.564,5.554,5.55,5.573
5.583,5.564,5.531,5.545
5.573,5.54,5.54,5.55
5.611,5.536,5.545,5.545
5.597,5.597,5.54,5.545
5.629,5.573,5.554,5.55
5.578,5.578,5.536,5.559
5.62,5.536,5.545,5.568
5.559,5.522,5.559,5.522
5.583,5.568,5.545,5.554
5.597,5.54,5.526,5.573
5.62,5.526,5.512,5.54
5.583,5.601,5.536,5.601
5.615,5.517,5.531,5.531
5.587,5.592,5.564,5.559
5.587,5.583,5.526,5.559
5.629,5.54,5.531,5.55
5.629,5.568,5.55,5.55
5.653,5.625,5.54,5.554
5.629,5.615,5.536,5.559
5.587,5.601,5.545,5.55
5.597,5.559,5.554,5.559
5.62,5.587,5.545,5.578
5.601,5.536,5.54,5.578
5.601,5.522,5.554,5.578
5.583,5.55,5.545,5.568
5.597,5.545,5.554,5.545
5.568,5.55,5.526,5.55
5.625,5.559,5.545,5.545
5.578,5.55,5.531,5.554
5.592,5.634,5.559,5.526
5.611,5.512,5.54,5.573
5.583,5.568,5.554,5.587
5.601,5.573,5.559,5.587
5.597,5.568,5.512,5.559
5.615,5.597,5.545,5.564
5.592,5.545,5.554,5.559
5.62,5.536,5.526,5.578
5.583,5.592,5.55,5.545
5.611,5.573,5.545,5.559
5.583,5.559,5.554,5.564
5.578,5.536,5.554,5.536
5.606,5.536,5.54,5.554
5.606,5.583,5.55,5.522
5.597,5.564,5.564,5.564
5.583,5.55,5.531,5.573
5.587,5.526,5.54,5.526
5.615,5.583,5.54,5.568
5.578,5.531,5.573,5.526
5.568,5.578,5.55,5.54
5.601,5.568,5.55,5.55
5.601,5.559,5.526,5.583
5.568,5.578,5.559,5.573
5.62,5.583,5.55,5.568
5.606,5.531,5.526,5.512
5.583,5.559,5.54,5.54
5.564,5.592,5.54,5.601
5.62,5.545,5.554,5.55
5.629,5.559,5.568,5.512
5.587,5.568,5.55,5.568
5.615,5.564,5.554,5.554
5.583,5.536,5.531,5.578
5.644,5.587,5.522,5.583
5.583,5.554,5.54,5.564
5.629,5.531,5.554,5.55
5.625,5.536,5.568,5.536
5.62,5.517,5.583,5.526
5.597,5.578,5.54,5.573
5.606,5.564,5.55,5.559
5.587,5.568,5.531,5.559
5.592,5.545,5.536,5.583
5.597,5.615,5.554,5.531
5.601,5.568,5.554,5.55
5.615,5.573,5.522,5.512
5.587,5.578,5.568,5.554
5.578,5.554,5.568,5.559
5.573,5.559,5.564,5.54
5.592,5.526,5.545,5.531
5.606,5.545,5.536,5.526
5.592,5.559,5.54,5.573
5.625,5.531,5.54,5.568
5.606,5.606,5.597,5.554
5.644,5.583,5.55,5.564
5.611,5.545,5.564,5.568
5.597,5.554,5.559,5.573
5.583,5.587,5.522,5.583
5.62,5.564,5.559,5.583
5.606,5.536,5.531,5.55
5.625,5.583,5.545,5.522
5.625,5.583,5.531,5.54
5.587,5.583,5.554,5.568
5.615,5.568,5.55,5.559
5.578,5.489,5.559,0.0
5.601,5.573,5.564,0.0
5.601,5.573,5.559,5.493
5.587,5.554,5.54,5.526
5.573,5.526,5.554,5.54
5.611,5.583,5.554,5.564
5.601,5.545,5.55,5.507
5.592,5.531,5.564,5.531
5.592,5.592,5.568,5.517
5.634,5.578,5.568,5.517
5.625,5.507,5.554,5.564
5.62,5.554,5.559,5.54
5.583,5.522,5.559,5.573
5.592,5.517,5.578,5.554
5.629,5.583,5.559,5.559
5.615,5.531,5.55,5.545
5.597,5.545,5.592,5.531
5.667,5.554,5.545,5.503
5.564,5.559,5.583,5.54
5.587,5.554,5.55,5.568
5.592,5.559,5.554,5.578
5.597,5.592,5.536,5.568
5.644,5.583,5.573,5.583
5.648,5.568,5.559,5.545
5.592,5.536,5.564,5.564
5.634,5.559,5.573,5.531
5.606,5.559,5.554,5.517
5.611,5.554,5.564,5.578
5.578,5.55,5.601,5.573
5.578,5.601,5.578,5.554
5.606,5.545,5.564,5.54
5.559,5.55,5.587,5.545
5.601,5.531,5.55,5.583
5.597,5.545,5.545,5.573
5.578,5.545,5.545,5.559
5.573,5.55,5.545,5.559
5.597,5.526,5.559,5.517
5.606,5.531,5.55,5.531
5.611,5.526,5.554,5.522
5.644,5.536,5.531,5.512
5.606,5.536,5.55,5.559
5.578,5.55,5.564,5.526
5.629,5.564,5.531,5.573
5.587,5.536,5.564,5.536
5.597,5.54,5.573,5.592
5.625,5.54,5.559,5.587
5.606,5.545,5.573,5.54
5.597,5.559,5.573,5.522
5.601,5.526,5.55,5.531
5.578,5.564,5.583,5.522
5.583,5.587,5.554,5.536
5.634,5.564,5.526,5.531
5.639,5.583,5.568,5.531
5.644,5.545,5.564,5.554
5.559,5.559,5.54,5.554
5.615,5.587,5.522,5.55
5.615,5.545,5.554,5.545
5.639,5.531,5.554,5.545
5.564,5.587,5.554,5.531
5.62,5.559,5.536,5.578
5.583,5.545,5.564,5.578
5.578,0.0,0.0,0.0
5.611,5.554,5.54,5.587
5.583,5.498,5.55,5.54
5.611,5.531,5.545,5.531
5.658,5.507,5.564,5.493
5.559,5.522,5.592,5.498
5.583,5.55,5.559,5.559
5.648,5.568,5.559,5.545
5.615,5.578,5.578,5.564
5.578,0.0,5.583,5.54
5.559,5.587,5.55,5.517
5.658,5.531,5.564,5.54
5.639,5.559,5.554,5.498
5.62,5.526,5.55,5.526
5.686,5.545,5.568,5.55
5.601,5.578,5.55,5.545
5.554,5.559,5.573,5.545
5.597,5.517,5.554,5.522
5.625,5.522,5.545,5.512
5.667,5.536,5.531,5.531
5.597,5.545,5.545,5.578
5.662,5.554,5.573,5.536
5.597,5.512,5.554,5.512
5.629,5.578,5.568,5.55
5.564,5.545,5.568,5.54
5.611,5.573,5.545,5.55
5.62,5.536,5.55,5.522
5.644,5.517,5.573,5.568
5.611,5.587,5.559,5.512
5.62,5.578,5.531,5.526
5.592,5.564,5.536,5.512
5.648,5.517,5.545,5.554
5.554,5.545,5.568,5.573
5.578,5.578,5.526,5.559
5.573,5.545,5.559,5.54
5.554,5.531,5.54,5.545
5.639,5.559,5.55,5.531
5.597,5.55,5.573,5.54
5.559,5.531,5.54,5.531
5.662,5.55,5.564,5.522
5.573,5.54,5.568,5.55
5.611,5.578,5.55,5.559
5.606,5.526,5.531,5.559
5.554,5.597,5.587,5.545
5.601,5.54,5.554,5.554
5.564,5.559,5.554,5.54
5.597,5.564,5.578,5.564
5.615,5.545,5.536,5.545
5.667,5.568,5.559,5.536
5.667,5.522,5.526,5.536
5.62,5.583,5.568,5.512
5.587,5.564,5.55,5.522
5.653,5.536,5.545,5.578
5.662,5.568,5.536,5.592
5.583,5.54,5.583,5.554
5.606,5.536,5.578,5.564
5.592,5.55,5.559,5.54
5.592,5.545,5.54,5.498
5.597,5.536,5.568,5.559
5.615,5.54,5.559,5.536
5.62,5.597,5.568,5.559
5.611,5.545,5.564,5.507
5.606,5.55,5.559,5.526
5.592,5.559,5.526,5.564
5.601,5.526,5.554,5.578
5.578,5.545,5.592,5.606
5.601,5.578,5.568,5.531
5.55,5.592,5.568,5.55
5.625,0.0,5.583,5.568
5.601,0.0,5.55,5.559
5.606,5.559,5.592,5.554
5.653,5.587,5.564,5.554
5.644,5.568,5.568,5.568
5.554,5.545,5.583,5.536
5.578,5.568,5.55,5.592
5.625,5.554,5.559,5.536
5.62,5.554,5.578,5.526
5.615,5.564,5.578,5.54
5.615,5.536,5.568,5.554
5.545,5.559,5.601,5.531
5.578,5.564,5.568,5.536
5.597,5.526,5.573,5.578
5.597,5.55,5.564,5.554
5.568,5.554,5.578,5.531
5.62,5.522,5.564,5.545
5.55,5.592,5.573,5.568
5.531,5.564,5.564,5.559
5.625,5.597,5.568,5.573
5.639,5.573,5.526,5.54
5.625,5.512,5.573,5.578
5.625,5.559,5.536,5.531
5.62,5.526,5.564,5.517
5.615,5.536,5.554,5.554
5.554,5.507,5.564,5.573
5.625,5.54,5.559,5.564
5.634,5.503,5.564,5.559
5.615,5.536,5.554,5.592
5.583,5.545,5.601,5.545
5.601,5.526,5.55,5.512
5.606,5.531,5.536,5.536
5.554,5.559,5.55,5.55
5.615,5.578,5.573,5.536
5.601,5.526,5.568,5.54
5.625,5.517,5.583,5.545
5.601,5.507,5.568,5.545
5.606,5.498,5.554,5.545
5.578,5.54,5.568,5.493
5.587,5.507,5.536,5.568
5.578,5.531,5.573,5.54
5.568,5.578,5.55,5.564
5.606,5.545,5.564,5.522
5.615,5.578,5.559,5.517
5.578,5.55,5.568,5.54
5.587,5.568,5.568,5.554
5.625,5.536,5.573,5.54
5.648,5.597,5.592,5.54
5.583,5.517,5.559,5.568
5.587,5.55,5.545,5.545
5.629,5.592,5.578,5.536
5.601,5.559,5.554,5.545
5.592,5.545,5.573,5.554
5.644,5.606,5.578,5.578
5.62,5.536,5.564,5.568
5.578,5.573,5.568,5.554
5.606,5.54,5.554,5.536
5.625,5.512,5.583,5.536
5.625,5.536,5.573,5.545
5.568,5.55,5.583,5.545
5.564,5.517,5.559,5.545
5.559,5.526,5.564,5.578
5.629,5.531,5.568,5.559
5.587,5.55,5.564,5.564
5.625,5.507,5.564,5.54
5.611,5.545,5.55,5.554
5.592,5.559,5.554,5.568
5.568,5.536,5.564,5.564
5.658,5.583,5.573,5.587
5.597,5.526,5.564,5.522
5.629,5.54,5.559,5.587
5.615,5.55,5.564,5.554
5.578,5.54,5.592,5.568
5.597,5.522,5.568,5.583
5.615,5.503,5.578,5.554
5.611,5.531,5.559,5.554
5.601,5.545,5.554,5.568
5.559,5.531,5.568,5.573
5.597,5.587,5.573,5.559
5.606,5.54,5.587,5.55
5.639,5.536,5.578,5.545
5.629,5.503,5.601,5.568
5.606,5.526,5.55,5.545
5.611,5.554,5.568,5.592
5.611,5.55,5.568,5.573
5.592,5.568,5.526,5.54
5.606,5.536,5.568,5.55
5.587,5.507,5.564,5.531
5.597,5.54,5.568,5.559
5.578,5.545,5.559,5.507
5.606,5.512,5.578,5.517
5.578,5.54,5.564,5.536
5.601,5.578,5.559,5.564
5.587,5.545,5.554,5.573
5.573,5.498,5.564,5.578
5.592,5.54,5.55,5.564
5.629,5.55,5.559,5.517
5.611,5.554,5.573,5.564
5.583,5.559,5.564,5.531
5.606,5.536,5.583,5.583
5.597,5.564,5.578,5.554
5.583,5.568,5.564,5.568
5.573,5.526,5.54,5.498
5.578,5.498,5.55,5.554
5.611,5.531,5.592,5.545
5.578,5.573,5.578,5.55
5.639,5.536,5.587,5.559
5.62,5.587,5.531,5.578
5.625,5.554,5.526,5.55
5.587,5.545,5.559,5.592
5.653,5.55,5.573,5.522
5.597,5.554,5.583,5.54
5.672,5.55,5.536,5.517
5.568,5.583,5.55,5.512
5.62,5.517,5.559,5.531
5.601,5.536,5.554,5.55
5.639,5.522,5.526,5.536
5.597,5.573,5.564,5.554
5.568,5.554,5.545,5.512
5.62,5.526,5.531,5.545
5.587,5.559,5.583,5.507
5.62,5.526,5.559,5.583
5.644,5.578,5.531,5.559
5.629,5.573,5.578,5.498
5.597,5.568,5.564,5.512
5.597,5.554,5.573,5.536
5.601,5.564,5.573,5.507
5.606,5.568,5.55,5.554
5.578,5.531,5.54,5.559
5.592,5.592,5.522,5.568
5.587,5.568,5.564,5.517
5.578,5.568,5.55,5.536
5.606,5.55,5.54,5.536
5.587,5.587,5.578,5.531
5.592,5.62,5.578,5.545
5.634,5.545,5.592,5.503
5.634,5.554,5.517,5.568
5.554,5.545,5.583,5.526
5.629,5.568,5.54,5.55
5.568,5.564,5.564,5.536
5.634,5.578,5.573,5.568
5.62,5.615,5.554,5.559
5.601,5.554,5.559,5.578
5.554,5.545,5.583,5.522
5.648,5.545,5.583,5.54
5.639,5.578,5.559,5.55
5.592,5.564,5.554,5.545
5.559,5.554,5.578,5.545
5.578,5.601,5.55,5.531
5.658,5.517,5.578,5.526
5.639,5.554,5.559,5.554
5.625,5.531,5.55,5.54
5.648,5.545,5.531,5.568
5.583,5.578,5.545,5.526
5.573,5.554,5.568,5.568
5.615,5.629,5.564,5.503
5.601,5.559,5.592,5.559
5.629,5.531,5.568,5.564
5.615,5.54,5.55,5.55
5.597,5.583,5.592,5.526
5.611,5.564,5.55,5.583
5.625,0.0,5.568,5.526
5.597,0.0,5.54,5.545
5.615,5.564,5.545,5.597
5.606,5.568,5.554,5.536
5.587,5.531,5.554,5.554
5.634,5.559,5.54,5.545
5.611,5.536,5.587,5.526
5.648,5.559,5.564,5.536
5.587,5.601,5.554,5.568
5.615,5.578,5.54,5.55
5.634,5.578,5.573,5.545
5.625,5.536,5.545,5.522
5.625,5.54,5.536,5.536
5.629,5.55,5.55,5.554
5.592,5.615,5.554,5.54
5.611,5.545,5.587,5.517
5.634,5.554,5.559,5.54
5.606,5.559,5.536,5.578
5.62,5.578,5.55,5.526
5.629,5.531,5.568,5.545
5.62,5.564,5.573,5.55
5.597,5.568,5.531,5.536
5.597,5.578,5.573,5.554
5.615,5.573,5.554,5.531
5.597,5.559,5.592,5.55
5.606,5.536,5.559,5.583
5.601,5.536,5.597,5.568
5.606,5.554,5.545,5.54
5.601,5.545,5.536,5.545
5.611,5.592,5.564,5.526
5.606,5.531,5.606,5.526
5.634,5.55,5.559,5.554
5.611,5.526,5.55,5.583
5.601,5.554,5.564,5.54
5.62,5.592,5.592,5.536
5.573,5.592,5.55,5.526
5.62,5.554,5.517,5.54
5.568,5.564,5.559,5.583
5.606,5.559,5.568,5.545
5.634,5.55,5.554,5.536
5.62,5.545,5.55,5.54
5.634,5.611,5.564,5.512
5.564,5.578,5.559,5.564
5.62,5.587,5.54,5.564
5.564,5.578,5.568,5.531
5.601,5.554,5.583,5.568
5.601,5.559,5.559,5.522
5.592,5.526,5.536,5.484
5.592,5.545,5.573,5.531
5.662,5.536,5.554,5.517
5.634,5.517,5.517,5.503
5.601,5.592,5.512,5.522
5.639,5.55,5.559,5.512
5.634,5.564,5.559,5.512
5.615,5.55,5.559,5.554
5.644,5.55,5.568,5.531
5.653,5.573,5.564,5.522
5.625,5.578,5.554,5.526
5.629,5.554,5.578,5.461
5.592,5.526,5.568,5.522
5.62,5.526,5.554,5.522
5.639,5.597,5.564,5.526
5.573,5.573,5.536,5.512
5.601,5.592,5.55,5.573
5.653,5.592,5.559,5.522
5.587,5.545,5.526,5.522
5.629,5.597,5.554,5.493
5.583,5.531,5.522,5.55
5.62,5.559,5.545,5.498
5.644,5.554,5.55,5.531
5.606,5.597,5.55,5.489
5.55,5.54,5.564,5.531
5.54,5.531,5.536,5.451
5.625,5.536,5.55,5.54
5.601,5.568,5.568,5.55
5.639,5.573,5.583,5.554
5.615,5.573,5.573,5.531
5.587,5.531,5.573,5.54
5.601,5.573,5.54,5.55
5.611,5.578,5.54,5.573
5.597,5.597,5.531,5.526
5.615,5.554,5.564,5.526
5.554,5.564,5.554,5.526
5.615,5.55,5.545,5.522
5.653,5.587,5.583,5.554
5.611,5.554,5.554,5.55
5.597,5.587,5.583,5.493
5.606,5.517,5.554,5.545
5.611,5.503,5.62,5.536
5.606,5.587,5.554,5.573
5.592,5.592,5.592,5.597
5.606,5.634,5.573,5.559
5.601,5.606,5.573,5.578
5.587,5.568,5.559,5.507
5.573,5.526,5.583,5.526
5.601,5.54,5.564,5.531
5.629,5.578,5.559,5.545
5.625,5.615,5.564,5.545
5.611,5.564,5.583,5.498
5.568,5.531,5.606,5.531
5.658,5.531,5.554,5.545
5.611,5.545,5.55,5.526
5.583,5.573,5.568,5.55
5.611,5.517,5.564,5.545
5.648,5.592,5.55,5.536
5.629,5.559,5.554,5.583
5.559,5.601,5.568,5.517
5.587,5.587,5.601,5.54
5.559,5.545,5.554,5.545
5.606,5.54,5.568,5.536
5.606,5.568,5.578,5.545
5.611,5.601,5.597,5.554
5.615,5.54,5.583,5.554
5.615,5.545,5.597,5.522
5.606,5.545,5.564,5.564
5.648,5.573,5.573,5.587
5.662,5.545,5.583,5.587
5.592,5.554,5.573,5.55
5.559,5.559,5.568,5.517
5.658,5.568,5.55,5.503
5.629,5.564,5.559,5.54
5.625,5.536,5.568,5.522
5.62,5.573,5.587,5.507
5.625,5.601,5.597,5.545
5.583,5.583,5.545,5.564
5.662,5.615,5.583,5.512
5.629,5.578,5.583,5.568
5.648,5.568,5.531,5.536
5.611,5.559,5.592,5.536
5.606,5.545,5.573,5.573
5.601,5.573,5.564,5.531
5.625,5.54,5.568,5.545
5.578,5.583,5.564,5.559
5.583,5.568,5.564,5.517
5.615,5.522,5.564,5.517
5.587,5.54,5.545,5.554
5.578,5.573,5.54,5.517
5.578,5.554,5.545,5.512
5.615,5.517,5.54,5.536
5.597,5.583,5.554,5.554
5.568,5.522,5.545,5.526
5.597,5.545,5.573,5.54
5.597,5.536,5.559,5.522
5.601,5.55,5.559,5.573
5.62,5.526,5.559,5.526
5.573,5.554,5.564,5.578
5.62,5.578,5.573,5.536
5.606,5.545,5.55,5.54
5.62,5.479,5.55,5.54
5.587,5.54,5.559,5.54
5.587,5.536,5.536,5.522
5.611,5.564,5.559,5.568
5.606,5.559,5.564,5.55
5.606,5.554,5.564,5.564
5.611,5.55,5.559,5.545
